district_code,state_name,district_name,population,male,female,literate,workers,households,households_with_internet,households_with_electric_lighting,urban_households,rural_households,households_with_computer,lpg_or_png_households
498,MAHARASHTRA,Dhule,2050862,1054031,996831,1293916,936370,528790,6065,315332,146013,382777,27139,126138
499,MAHARASHTRA,Jalgaon,4229917,2197365,2032552,2891882,1863571,1169788,14297,720791,373565,796223,56775,350029
500,MAHARASHTRA,Buldana,2586258,1337560,1248698,1879874,1219641,728192,4767,423036,152787,575405,24877,103898
501,MAHARASHTRA,Akola,1813906,932334,881572,1411281,768154,504235,6163,314490,196077,308158,24232,107463
502,MAHARASHTRA,Washim,1197160,620302,576858,869917,569792,330846,1875,196022,55921,274925,10757,36840
503,MAHARASHTRA,Amravati,2888445,1480768,1407677,2251875,1236322,781815,9438,512492,272894,508921,36185,175917
504,MAHARASHTRA,Wardha,1300774,668385,632389,1019458,608235,388704,4313,266155,120218,268486,16260,114029
505,MAHARASHTRA,Nagpur,4653570,2384975,2268595,3673808,1868560,1308366,57964,917626,877522,430844,135750,599780
506,MAHARASHTRA,Bhandara,1200334,605520,594814,899860,597305,356418,2932,227025,72575,283843,13165,55948
507,MAHARASHTRA,Gondiya,1322507,661554,660953,1004243,665419,386515,2866,239981,66813,319702,13595,38044
508,MAHARASHTRA,Gadchiroli,1072942,541328,531614,708365,584237,330840,1663,145459,37254,293586,11064,31014
509,MAHARASHTRA,Chandrapur,2204307,1123834,1080473,1578615,1058172,684655,8239,418666,233331,451324,31419,172661
510,MAHARASHTRA,Yavatmal,2772348,1419965,1352383,2022574,1355999,798132,6094,446516,168889,629243,29917,134500
511,MAHARASHTRA,Nanded,3361292,1730075,1631217,2189425,1493953,821682,7548,488748,230563,591119,43055,116284
512,MAHARASHTRA,Hingoli,1177345,606294,571051,790743,569182,284369,1221,159114,41913,242456,9676,27700
513,MAHARASHTRA,Parbhani,1836086,942870,893216,1157814,822797,427239,3982,272486,133759,293480,21196,59272
514,MAHARASHTRA,Jalna,1959046,1011473,947573,1195523,930886,502830,3791,288895,98084,404746,17236,60219
515,MAHARASHTRA,Aurangabad,3701282,1924469,1776813,2503837,1575079,979132,23258,589477,427343,551789,69937,246324
516,MAHARASHTRA,Nashik,6107187,3157186,2950001,4345366,2763328,1668932,45039,904710,764271,904661,138887,536781
517,MAHARASHTRA,Thane,11060148,5865078,5195070,8227161,4492767,3618151,256170,2231800,2904157,713994,551643,1610460
518,MAHARASHTRA,Mumbai Suburban,9356962,5031323,4325639,7575485,3735021,3078829,404757,1964657,3078829,0,652946,1586946
519,MAHARASHTRA,Mumbai,3085411,1684608,1400803,2509022,1284396,1107321,121344,625927,1107321,0,204234,494883
520,MAHARASHTRA,Raigarh,2634200,1344345,1289855,1939994,1072969,959028,38570,547206,377160,581868,96301,328277
521,MAHARASHTRA,Pune,9429408,4924105,4505303,7171723,4048993,3222457,235018,1925019,2056739,1165718,490260,1410448
522,MAHARASHTRA,Ahmadnagar,4543159,2342825,2200334,3151890,2204590,1323404,18370,677592,282011,1041393,68902,300116
523,MAHARASHTRA,Bid,2585049,1349106,1235943,1718507,1255548,698571,5614,402052,135457,563114,29198,82098
